"Jan 2002";43622
"Feb 2002";43391
"Mar 2002";54556
"Apr 2002";50796
"May 2002";52677
"Jun 2002";55429
"Jul 2002";57901
"Aug 2002";57961
"Sep 2002";45498
"Oct 2002";53674
"Nov 2002";50348
"Dec 2002";55753
"Jan 2003";49034
"Feb 2003";46557
"Mar 2003";56282
"Apr 2003";52380
"May 2003";54559
"Jun 2003";58586
"Jul 2003";63071
"Aug 2003";61329
"Sep 2003";49936
"Oct 2003";55852
"Nov 2003";52938
"Dec 2003";56202
"Jan 2004";50323
"Feb 2004";51528
"Mar 2004";61421
"Apr 2004";60163
"May 2004";59838
"Jun 2004";64530
"Jul 2004";68179
"Aug 2004";65581
"Sep 2004";53998
"Oct 2004";60779
"Nov 2004";58020
"Dec 2004";59654
"Jan 2005";55230
"Feb 2005";53658
"Mar 2005";67107
"Apr 2005";62336
"May 2005";64844
"Jun 2005";67921
"Jul 2005";71472
"Aug 2005";67562
"Sep 2005";57387
"Oct 2005";60441
"Nov 2005";59194
"Dec 2005";60019
"Jan 2006";56149
"Feb 2006";53870
"Mar 2006";66523
"Apr 2006";63694
"May 2006";64885
"Jun 2006";67723
"Jul 2006";70066
"Aug 2006";66985
"Sep 2006";56909
"Oct 2006";62089
"Nov 2006";60742
"Dec 2006";61156
"Jan 2007";57653
"Feb 2007";54506
"Mar 2007";67766
"Apr 2007";65384
"May 2007";67236
"Jun 2007";70235
"Jul 2007";73056
"Aug 2007";71963
"Sep 2007";59760
"Oct 2007";64684
"Nov 2007";62405
"Dec 2007";61341
"Jan 2008";58280
"Feb 2008";57519
"Mar 2008";68271
"Apr 2008";63668
"May 2008";66537
"Jun 2008";68445
"Jul 2008";70998
"Aug 2008";68337
"Sep 2008";54703
"Oct 2008";60198
"Nov 2008";54492
"Dec 2008";57794
"Jan 2009";52257
"Feb 2009";50217
"Mar 2009";61403
"Apr 2009";59966
"May 2009";60167
"Jun 2009";64005
"Jul 2009";68604
"Aug 2009";65549
"Sep 2009";55168
"Oct 2009";59312
"Nov 2009";55285
"Dec 2009";57357
"Jan 2010";53043
"Feb 2010";49091
"Mar 2010";62735
"Apr 2010";60145
"May 2010";61941
"Jun 2010";65515
"Jul 2010";69078
"Aug 2010";66814
"Sep 2010";57842
"Oct 2010";62648
"Nov 2010";58653
"Dec 2010";59040
"Jan 2011";54179
"Feb 2011";50554
"Mar 2011";64164
"Apr 2011";61033
"May 2011";64348
"Jun 2011";66777
"Jul 2011";70590
"Aug 2011";66953
"Sep 2011";58629
"Oct 2011";61750
"Nov 2011";58822
"Dec 2011";59594
"Jan 2012";54929
"Feb 2012";53576
"Mar 2012";65008
"Apr 2012";61992
"May 2012";64126
"Jun 2012";67144
"Jul 2012";69802
"Aug 2012";68366
"Sep 2012";57935
"Oct 2012";61412
"Nov 2012";59208
"Dec 2012";59324
"Jan 2013";55792
"Feb 2013";52886
"Mar 2013";65540
"Apr 2013";61416
"May 2013";65203
"Jun 2013";67513
"Jul 2013";69722
"Aug 2013";68226
"Sep 2013";58642
"Oct 2013";62596
"Nov 2013";58014
"Dec 2013";62915
"Jan 2014";56198
"Feb 2014";52801
