"Miesi¹c","Œrednia cena"
"styczen-2006",3.77
"luty-2006",3.72
"marzec-2006",3.72
"kwiecien-2006",4.02
"maj-2006",4.21
"czerwiec-2006",4.21
"lipiec-2006",4.32
"sierpien-2006",4.4
"wrzesien-2006",4.25
"pazdziernik-2006",3.97
"listopad-2006",3.8
"grudzien-2006",3.65
"styczen-2007",3.66
"luty-2007",3.78
"marzec-2007",4.04
"kwiecien-2007",4.25
"maj-2007",4.35
"czerwiec-2007",4.46
"lipiec-2007",4.46
"sierpien-2007",4.4
"wrzesien-2007",4.36
"pazdziernik-2007",4.33
"listopad-2007",4.43
"grudzien-2007",4.42
"styczen-2008",4.33
"luty-2008",4.29
"marzec-2008",4.36
"kwiecien-2008",4.34
"maj-2008",4.48
"czerwiec-2008",4.65
"lipiec-2008",4.72
"sierpien-2008",4.59
"wrzesien-2008",4.46
"pazdziernik-2008",4.35
"listopad-2008",4.06
"grudzien-2008",3.66
"styczen-2009",3.46
"luty-2009",3.81
"marzec-2009",3.88
"kwiecien-2009",3.95
"maj-2009",4.11
"czerwiec-2009",4.45
"lipiec-2009",4.59
"sierpien-2009",4.49
"wrzesien-2009",4.42
"pazdziernik-2009",4.3
"listopad-2009",4.36
"grudzien-2009",4.29
"styczen-2010",4.37
"luty-2010",4.38
"marzec-2010",4.46
"kwiecien-2010",4.59
"maj-2010",4.71
"czerwiec-2010",4.72
"lipiec-2010",4.71
"sierpien-2010",4.61
"wrzesien-2010",4.58
"pazdziernik-2010",4.58
"listopad-2010",4.6
"grudzien-2010",4.81
"styczen-2011",4.91
"luty-2011",4.83
"marzec-2011",5
"kwiecien-2011",5.15
"maj-2011",5.18
"czerwiec-2011",5.13
"lipiec-2011",5.14
"sierpien-2011",5.2
"wrzesien-2011",5.11
"pazdziernik-2011",5.24
"listopad-2011",5.39
"grudzien-2011",5.45
"styczen-2012",5.58
"luty-2012",5.62
"marzec-2012",5.74
"kwiecien-2012",5.88
"maj-2012",5.86
"czerwiec-2012",5.82
"lipiec-2012",5.66
"sierpien-2012",5.72
"wrzesien-2012",5.86
"pazdziernik-2012",5.85
"listopad-2012",5.62
"grudzien-2012",5.53
"styczen-2013",5.44
"luty-2013",5.53
"marzec-2013",5.63
"kwiecien-2013",5.6
"maj-2013",5.37
"czerwiec-2013",5.44
"lipiec-2013",5.57
"sierpien-2013",5.6
"wrzesien-2013",5.68
"pazdziernik-2013",5.53
"listopad-2013",5.37
"grudzien-2013",5.38
"styczen-2014",5.31
"luty-2014",5.33
"marzec-2014",5.37
"kwiecien-2014",5.34
"maj-2014",5.38
"czerwiec-2014",5.39
"lipiec-2014",5.48
"sierpien-2014",5.41
"wrzesien-2014",5.34
