"Rok","Miesi¹c","Stopa bezrobocia rejestrowanego (stan w koñcu okresu) w %"
2000,"I",13.7
,"II",14.0
,"III",14.0
,"IV",13.8
,"V",13.6
,"VI",13.6
,"VII",13.8
,"VIII",13.9
,"IX",14.0
,"X",14.1
,"XI",14.5
,"XII",15.1
2001,"I",15.7
,"II",15.9
,"III",16.1
,"IV",16.0
,"V",15.9
,"VI",15.9
,"VII",16.0
,"VIII",16.2
,"IX",16.3
,"X",16.4
,"XI",16.8
,"XII",17.5
2002,"I",18.1
,"II",18.2
,"III",18.2
,"IV",17.9
,"V",17.3
,"VI",17.4
,"VII",17.5
,"VIII",17.5
,"IX",17.6
,"X",17.5
,"XI",17.8
,"XII",18.0
2003,"I",20.6
,"II",20.7
,"III",20.6
,"IV",20.3
,"V",19.8
,"VI",19.7
,"VII",19.6
,"VIII",19.5
,"IX",19.4
,"X",19.3
,"XI",19.5
,"XII",20.0
2004,"I",20.6
,"II",20.6
,"III",20.4
,"IV",19.9
,"V",19.5
,"VI",19.4
,"VII",19.3
,"VIII",19.1
,"IX",18.9
,"X",18.7
,"XI",18.7
,"XII",19.0
2005,"I",19.4
,"II",19.4
,"III",19.2
,"IV",18.7
,"V",18.2
,"VI",18.0
,"VII",17.9
,"VIII",17.7
,"IX",17.6
,"X",17.3
,"XI",17.3
,"XII",17.6
2006,"I",18.0
,"II",18.0
,"III",17.8
,"IV",17.2
,"V",16.5
,"VI",15.9
,"VII",15.7
,"VIII",15.5
,"IX",15.2
,"X",14.9
,"XI",14.8
,"XII",14.8
2007,"I",15.1
,"II",14.8
,"III",14.3
,"IV",13.6
,"V",12.9
,"VI",12.3
,"VII",12.1
,"VIII",11.9
,"IX",11.6
,"X",11.3
,"XI",11.2
,"XII",11.2
2008,"I",11.5
,"II",11.3
,"III",10.9
,"IV",10.3
,"V",9.8
,"VI",9.4
,"VII",9.2
,"VIII",9.1
,"IX",8.9
,"X",8.8
,"XI",9.1
,"XII",9.5
2009,"I",10.4
,"II",10.9
,"III",11.1
,"IV",10.9
,"V",10.7
,"VI",10.6
,"VII",10.7
,"VIII",10.8
,"IX",10.9
,"X",11.1
,"XI",11.4
,"XII",12.1
2010,"I",12.9
,"II",13.2
,"III",13.0
,"IV",12.4
,"V",12.1
,"VI",11.7
,"VII",11.5
,"VIII",11.4
,"IX",11.5
,"X",11.5
,"XI",11.7
,"XII",12.4
2011,"I",13.1
,"II",13.4
,"III",13.3
,"IV",12.8
,"V",12.4
,"VI",11.9
,"VII",11.8
,"VIII",11.8
,"IX",11.8
,"X",11.8
,"XI",12.1
,"XII",12.5
2012,"I",13.2
,"II",13.4
,"III",13.3
,"IV",12.9
,"V",12.6
,"VI",12.3
,"VII",12.3
,"VIII",12.4
,"IX",12.4
,"X",12.5
,"XI",12.9
,"XII",13.4
2013,"I",14.2
,"II",14.4
,"III",14.3
,"IV",14.0
,"V",13.6
,"VI",13.2
,"VII",13.1
,"VIII",13.0
,"IX",13.0
,"X",13.0
,"XI",13.2
,"XII",13.4
2014,"I",14.0
,"II",13.9
,"III",13.5
,"IV",13.0
,"V",12.5
,"VI",12.0
,"VII",11.8
,"VIII",11.7
,"IX",11.5
